frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-19.37,-19.37,-24.56,-24.56,6.00,6.11,2.73,-13.37,-13.37,5.18
20.20,-19.32,-19.32,-24.54,-24.54,6.00,6.11,2.81,-13.32,-13.32,5.21
20.40,-19.27,-19.27,-24.51,-24.51,6.00,6.11,2.89,-13.27,-13.27,5.24
20.61,-19.22,-19.22,-24.48,-24.49,6.00,6.11,2.97,-13.22,-13.22,5.26
20.81,-19.16,-19.17,-24.45,-24.46,6.00,6.10,3.06,-13.16,-13.17,5.29
21.02,-19.11,-19.11,-24.43,-24.43,6.00,6.10,3.14,-13.11,-13.11,5.32
21.23,-19.06,-19.06,-24.39,-24.39,6.00,6.10,3.23,-13.06,-13.06,5.33
21.44,-19.01,-19.01,-24.35,-24.35,6.00,6.10,3.32,-13.01,-13.01,5.34
21.66,-18.96,-18.96,-24.31,-24.31,6.00,6.10,3.42,-12.96,-12.96,5.35
21.87,-18.91,-18.91,-24.26,-24.26,6.00,6.10,3.52,-12.91,-12.91,5.35
22.09,-18.85,-18.86,-24.21,-24.21,6.00,6.10,3.61,-12.85,-12.86,5.36
22.31,-18.80,-18.80,-24.16,-24.16,6.00,6.10,3.72,-12.80,-12.80,5.36
22.54,-18.75,-18.75,-24.11,-24.11,6.00,6.10,3.82,-12.75,-12.75,5.36
22.76,-18.70,-18.70,-24.06,-24.06,6.00,6.10,3.93,-12.70,-12.70,5.35
22.99,-18.65,-18.65,-24.00,-24.00,6.00,6.10,4.04,-12.65,-12.65,5.34
23.22,-18.60,-18.60,-23.95,-23.95,6.00,6.10,4.15,-12.60,-12.60,5.34
23.45,-18.55,-18.55,-23.90,-23.89,6.00,6.09,4.27,-12.55,-12.55,5.34
23.69,-18.49,-18.50,-23.84,-23.84,6.00,6.09,4.39,-12.49,-12.50,5.34
23.92,-18.44,-18.44,-23.78,-23.79,6.00,6.09,4.51,-12.44,-12.44,5.34
24.16,-18.39,-18.39,-23.74,-23.74,6.00,6.09,4.63,-12.39,-12.39,5.35
24.40,-18.34,-18.34,-23.69,-23.69,6.00,6.09,4.75,-12.34,-12.34,5.35
24.65,-18.29,-18.29,-23.63,-23.64,6.00,6.09,4.88,-12.29,-12.29,5.34
24.89,-18.24,-18.24,-23.58,-23.58,6.00,6.09,5.01,-12.24,-12.24,5.34
25.14,-18.18,-18.19,-23.52,-23.52,6.00,6.09,5.14,-12.18,-12.19,5.34
25.39,-18.13,-18.13,-23.47,-23.47,6.00,6.09,5.27,-12.13,-12.13,5.34
25.65,-18.08,-18.08,-23.42,-23.41,6.00,6.08,5.40,-12.08,-12.08,5.33
25.91,-18.03,-18.03,-23.36,-23.36,6.00,6.08,5.54,-12.03,-12.03,5.32
26.16,-17.98,-17.98,-23.31,-23.31,6.00,6.08,5.67,-11.98,-11.98,5.32
26.43,-17.93,-17.93,-23.26,-23.25,6.00,6.08,5.80,-11.93,-11.93,5.32
26.69,-17.88,-17.88,-23.20,-23.20,6.00,6.08,5.93,-11.88,-11.88,5.32
26.96,-17.82,-17.83,-23.14,-23.15,6.00,6.08,6.06,-11.82,-11.83,5.32
27.23,-17.77,-17.78,-23.09,-23.09,6.00,6.08,6.19,-11.77,-11.78,5.32
27.50,-17.72,-17.73,-23.04,-23.04,6.00,6.07,6.32,-11.72,-11.73,5.32
27.77,-17.67,-17.67,-22.98,-22.97,6.00,6.07,6.44,-11.67,-11.67,5.30
28.05,-17.61,-17.60,-22.92,-22.90,6.00,6.07,6.56,-11.61,-11.60,5.30
28.33,-17.52,-17.54,-22.82,-22.84,6.00,6.07,6.67,-11.52,-11.54,5.29
28.62,-17.49,-17.50,-22.78,-22.78,6.00,6.07,6.78,-11.49,-11.50,5.29
28.90,-17.46,-17.47,-22.75,-22.75,6.00,6.07,6.88,-11.46,-11.47,5.29
29.19,-17.46,-17.45,-22.74,-22.73,6.00,6.07,6.98,-11.46,-11.45,5.28
29.48,-17.43,-17.44,-22.72,-22.72,6.00,6.06,7.06,-11.43,-11.44,5.29
29.78,-17.41,-17.43,-22.69,-22.70,6.00,6.06,7.15,-11.41,-11.43,5.27
30.08,-17.41,-17.40,-22.69,-22.67,6.00,6.06,7.21,-11.41,-11.40,5.27
30.38,-17.36,-17.36,-22.62,-22.62,6.00,6.06,7.28,-11.36,-11.36,5.26
30.68,-17.28,-17.30,-22.54,-22.55,6.00,6.06,7.33,-11.28,-11.30,5.26
30.99,-17.22,-17.21,-22.47,-22.46,6.00,6.05,7.37,-11.22,-11.21,5.25
31.30,-17.11,-17.11,-22.35,-22.35,6.00,6.05,7.40,-11.11,-11.11,5.24
31.61,-16.97,-16.98,-22.22,-22.22,6.00,6.05,7.43,-10.97,-10.98,5.24
31.93,-16.85,-16.83,-22.07,-22.06,6.00,6.05,7.44,-10.85,-10.83,5.23
32.24,-16.64,-16.67,-21.86,-21.89,6.00,6.05,7.44,-10.64,-10.67,5.22
32.57,-16.50,-16.48,-21.71,-21.70,6.00,6.04,7.43,-10.50,-10.48,5.21
