frequency,raw,smoothed,error,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
20.00,-4.32,-4.33,-6.36,-6.37,5.98,6.53,2.27,1.66,1.65,2.04
20.20,-4.31,-4.29,-6.38,-6.36,5.99,6.49,2.33,1.69,1.70,2.07
20.40,-4.27,-4.25,-6.37,-6.35,6.00,6.44,2.40,1.74,1.75,2.10
20.61,-4.21,-4.21,-6.33,-6.33,6.01,6.39,2.47,1.80,1.80,2.12
20.81,-4.15,-4.15,-6.30,-6.30,6.01,6.35,2.54,1.87,1.86,2.15
21.02,-4.10,-4.10,-6.27,-6.27,6.01,6.30,2.62,1.92,1.91,2.18
21.23,-4.06,-4.05,-6.24,-6.24,6.01,6.25,2.69,1.96,1.96,2.19
21.44,-4.01,-4.01,-6.20,-6.21,6.01,6.20,2.77,2.00,2.00,2.20
21.66,-3.96,-3.96,-6.16,-6.17,6.01,6.16,2.85,2.05,2.05,2.21
21.87,-3.92,-3.91,-6.12,-6.12,6.01,6.11,2.93,2.09,2.09,2.21
22.09,-3.87,-3.86,-6.08,-6.08,6.00,6.06,3.02,2.13,2.13,2.21
22.31,-3.82,-3.82,-6.03,-6.03,5.98,6.01,3.11,2.16,2.16,2.21
22.54,-3.76,-3.77,-5.97,-5.98,5.95,5.97,3.20,2.19,2.18,2.21
22.76,-3.73,-3.72,-5.94,-5.93,5.92,5.92,3.29,2.19,2.20,2.21
22.99,-3.67,-3.67,-5.87,-5.87,5.88,5.87,3.38,2.21,2.21,2.20
23.22,-3.62,-3.62,-5.82,-5.82,5.83,5.82,3.48,2.22,2.21,2.20
23.45,-3.57,-3.57,-5.77,-5.77,5.78,5.77,3.58,2.22,2.21,2.20
23.69,-3.53,-3.52,-5.73,-5.72,5.73,5.73,3.68,2.21,2.21,2.20
23.92,-3.48,-3.48,-5.68,-5.68,5.68,5.68,3.78,2.21,2.20,2.20
24.16,-3.43,-3.43,-5.64,-5.64,5.63,5.63,3.89,2.21,2.20,2.21
24.40,-3.40,-3.39,-5.60,-5.59,5.59,5.58,3.99,2.19,2.20,2.21
24.65,-3.34,-3.35,-5.53,-5.55,5.54,5.54,4.10,2.20,2.20,2.20
24.89,-3.31,-3.30,-5.50,-5.50,5.50,5.49,4.21,2.19,2.19,2.20
25.14,-3.26,-3.26,-5.45,-5.45,5.45,5.44,4.32,2.20,2.20,2.19
25.39,-3.22,-3.22,-5.41,-5.41,5.41,5.39,4.43,2.19,2.19,2.19
25.65,-3.17,-3.17,-5.36,-5.36,5.36,5.35,4.54,2.20,2.19,2.19
25.91,-3.14,-3.13,-5.32,-5.32,5.32,5.30,4.65,2.18,2.19,2.18
26.16,-3.10,-3.10,-5.28,-5.28,5.28,5.25,4.76,2.18,2.18,2.18
26.43,-3.06,-3.06,-5.24,-5.24,5.24,5.20,4.87,2.18,2.18,2.18
26.69,-3.02,-3.02,-5.20,-5.20,5.20,5.16,4.98,2.18,2.18,2.18
26.96,-2.99,-2.98,-5.16,-5.16,5.16,5.11,5.09,2.17,2.17,2.18
27.23,-2.94,-2.95,-5.11,-5.12,5.11,5.07,5.20,2.18,2.17,2.18
27.50,-2.91,-2.90,-5.08,-5.08,5.07,5.02,5.30,2.16,2.17,2.17
27.77,-2.87,-2.86,-5.03,-5.03,5.03,4.97,5.40,2.16,2.17,2.16
28.05,-2.82,-2.83,-4.98,-4.98,4.98,4.93,5.49,2.17,2.16,2.16
28.33,-2.79,-2.78,-4.94,-4.94,4.94,4.88,5.58,2.15,2.16,2.15
28.62,-2.75,-2.75,-4.90,-4.89,4.90,4.84,5.67,2.15,2.15,2.15
28.90,-2.71,-2.71,-4.85,-4.85,4.85,4.79,5.74,2.15,2.14,2.15
29.19,-2.67,-2.67,-4.80,-4.81,4.81,4.75,5.82,2.14,2.14,2.13
29.48,-2.64,-2.63,-4.78,-4.77,4.77,4.70,5.88,2.13,2.14,2.14
29.78,-2.59,-2.59,-4.72,-4.73,4.73,4.66,5.94,2.14,2.13,2.13
30.08,-2.56,-2.56,-4.69,-4.69,4.69,4.62,5.98,2.13,2.12,2.13
30.38,-2.53,-2.52,-4.65,-4.64,4.65,4.57,6.02,2.12,2.12,2.12
30.68,-2.50,-2.49,-4.61,-4.60,4.61,4.53,6.05,2.11,2.11,2.12
30.99,-2.45,-2.46,-4.55,-4.57,4.57,4.49,6.07,2.12,2.11,2.10
31.30,-2.43,-2.42,-4.53,-4.53,4.53,4.45,6.08,2.10,2.10,2.10
31.61,-2.40,-2.39,-4.50,-4.49,4.49,4.41,6.08,2.09,2.10,2.10
31.93,-2.36,-2.37,-4.45,-4.45,4.45,4.36,6.07,2.09,2.08,2.09
32.24,-2.34,-2.33,-4.41,-4.41,4.41,4.32,6.06,2.08,2.08,2.07
32.57,-2.31,-2.30,-4.38,-4.37,4.38,4.28,6.03,2.07,2.07,2.07
32.89,-2.27,-2.28,-4.34,-4.34,4.34,4.24,5.99,2.07,2.06,2.07
33.22,-2.25,-2.24,-4.30,-4.30,4.30,4.20,5.94,2.05,2.06,2.06
33.55,-2.22,-2.21,-4.27,-4.27,4.27,4.17,5.89,2.05,2.05,2.05
33.89,-2.18,-2.19,-4.22,-4.23,4.23,4.13,5.83,2.05,2.05,2.04
34.23,-2.17,-2.16,-4.21,-4.20,4.20,4.09,5.77,2.03,2.04,2.04
34.57,-2.13,-2.14,-4.15,-4.16,4.16,4.05,5.70,2.03,2.03,2.02
34.92,-2.13,-2.12,-4.14,-4.13,4.13,4.01,5.62,2.00,2.01,2.01
35.27,-2.08,-2.09,-4.09,-4.09,4.09,3.98,5.54,2.01,2.00,2.01
35.62,-2.08,-2.06,-4.07,-4.06,4.06,3.94,5.45,1.98,1.99,1.99
35.97,-2.03,-2.04,-4.01,-4.02,4.02,3.91,5.36,1.99,1.98,1.98
36.33,-2.01,-2.01,-3.98,-3.98,3.98,3.87,5.27,1.98,1.97,1.98
36.70,-1.99,-1.98,-3.95,-3.94,3.95,3.84,5.18,1.96,1.96,1.96
37.06,-1.95,-1.95,-3.90,-3.91,3.91,3.81,5.09,1.96,1.95,1.95
37.43,-1.94,-1.93,-3.88,-3.87,3.87,3.77,4.99,1.93,1.94,1.94
37.81,-1.89,-1.90,-3.82,-3.83,3.83,3.74,4.90,1.95,1.93,1.93
38.19,-1.89,-1.88,-3.80,-3.80,3.80,3.71,4.80,1.91,1.92,1.92
38.57,-1.85,-1.85,-3.76,-3.76,3.76,3.68,4.71,1.91,1.91,1.91
38.95,-1.84,-1.83,-3.73,-3.73,3.72,3.65,4.61,1.89,1.89,1.90
39.34,-1.80,-1.81,-3.68,-3.69,3.69,3.62,4.52,1.89,1.88,1.88
39.74,-1.80,-1.79,-3.66,-3.65,3.65,3.59,4.43,1.86,1.87,1.87
40.14,-1.75,-1.76,-3.61,-3.62,3.62,3.56,4.34,1.87,1.86,1.86
40.54,-1.75,-1.74,-3.59,-3.58,3.59,3.53,4.26,1.84,1.85,1.85
